,Pais,Sexo,Edad,Causa de Muerte,Cantidad
542,0,0,9,2,2
543,0,0,9,3,0
544,0,0,9,4,0
545,0,0,9,5,0
546,0,0,9,6,0
547,0,0,9,7,422
548,0,0,9,8,0
549,0,0,9,9,0
550,0,0,9,10,2
551,0,0,9,11,1
552,0,0,9,12,0
553,0,0,9,13,1122
554,0,0,9,14,1061
555,0,0,9,15,13
556,0,0,9,16,23
557,0,0,9,17,49
558,0,0,9,18,137
559,0,0,9,19,25
560,0,0,9,20,62
561,0,0,9,21,101
562,0,0,9,22,297
563,0,0,9,23,62
564,0,0,9,24,62
565,0,0,9,25,53
566,0,0,9,26,401
567,0,0,9,27,192
568,0,0,9,28,56
569,0,0,9,29,140
570,0,0,9,30,169
571,0,0,9,31,4533
572,0,0,9,32,1
573,0,0,9,33,475
574,0,0,9,34,896
575,0,0,9,35,667
576,0,0,9,36,93
577,0,0,9,37,4026
578,0,0,9,38,3
579,0,0,9,39,2357
580,0,0,9,40,263
581,0,0,9,41,409
582,0,0,9,42,14
583,0,0,9,43,41
584,0,0,9,44,21
585,0,0,9,45,691
586,0,0,9,46,407
587,0,0,9,47,8
588,0,0,9,48,0
589,0,0,9,49,1
590,0,0,9,50,964
591,0,0,9,51,195
592,0,0,9,52,123
593,0,0,9,53,12
594,0,0,9,54,12
595,0,0,9,55,0
596,0,0,9,56,2
597,0,0,9,57,4
598,0,0,9,58,18
599,0,0,9,59,1
600,0,1,0,0,153
601,0,1,0,1,29
602,0,1,0,2,2
603,0,1,0,3,0
604,0,1,0,4,0
605,0,1,0,5,5
606,0,1,0,6,2
607,0,1,0,7,72
608,0,1,0,8,0
609,0,1,0,9,0
610,0,1,0,10,2
611,0,1,0,11,5
612,0,1,0,12,0
613,0,1,0,13,154
614,0,1,0,14,129
615,0,1,0,15,2
616,0,1,0,16,0
617,0,1,0,17,0
618,0,1,0,18,0
619,0,1,0,19,2
620,0,1,0,20,0
621,0,1,0,21,0
622,0,1,0,23,56
623,0,1,0,24,17
624,0,1,0,25,5
625,0,1,0,26,50
626,0,1,0,27,1
627,0,1,0,28,8
628,0,1,0,29,0
629,0,1,0,30,125
630,0,1,0,31,66
631,0,1,0,32,1
632,0,1,0,33,2
633,0,1,0,34,0
634,0,1,0,35,13
635,0,1,0,36,1
636,0,1,0,37,284
637,0,1,0,38,2
638,0,1,0,39,108
639,0,1,0,40,8
640,0,1,0,41,15
641,0,1,0,42,0
642,0,1,0,43,9
643,0,1,0,44,4
644,0,1,0,45,17
645,0,1,0,46,12
646,0,1,0,48,1457
647,0,1,0,49,1001
648,0,1,0,50,157
649,0,1,0,51,289
650,0,1,0,52,211
651,0,1,0,53,54
652,0,1,0,54,5
653,0,1,0,55,34
654,0,1,0,56,13
655,0,1,0,57,21
656,0,1,0,58,0
657,0,1,0,59,19
658,0,1,0,60,0
659,0,1,0,61,0
660,0,1,0,62,0
661,0,1,0,63,0
662,0,1,1,0,38
663,0,1,1,1,2
664,0,1,1,2,8
665,0,1,1,3,0
666,0,1,1,4,0
667,0,1,1,5,0
668,0,1,1,6,2
669,0,1,1,7,11
670,0,1,1,8,0
671,0,1,1,9,0
672,0,1,1,10,1
673,0,1,1,11,11
674,0,1,1,12,0
675,0,1,1,13,127
676,0,1,1,14,116
677,0,1,1,15,0
678,0,1,1,16,0
679,0,1,1,17,0
680,0,1,1,18,0
681,0,1,1,19,1
682,0,1,1,20,0
683,0,1,1,21,2
684,0,1,1,23,53
685,0,1,1,24,4
686,0,1,1,25,1
687,0,1,1,26,27
688,0,1,1,27,10
689,0,1,1,28,2
690,0,1,1,29,3
691,0,1,1,30,85
692,0,1,1,31,70
693,0,1,1,32,0
694,0,1,1,33,1
695,0,1,1,34,4
696,0,1,1,35,19
697,0,1,1,36,2
698,0,1,1,37,79
699,0,1,1,38,1
700,0,1,1,39,45
701,0,1,1,40,5
702,0,1,1,41,27
703,0,1,1,42,0
704,0,1,1,43,13
705,0,1,1,44,16
706,0,1,1,45,20
707,0,1,1,46,15
708,0,1,1,48,0
709,0,1,1,49,36
710,0,1,1,50,43
711,0,1,1,51,493
712,0,1,1,52,213
713,0,1,1,53,142
714,0,1,1,54,2
715,0,1,1,55,8
716,0,1,1,56,5
717,0,1,1,57,11
718,0,1,1,58,153
719,0,1,1,59,34
720,0,1,1,60,0
721,0,1,1,61,2
722,0,1,1,62,31
723,0,1,1,63,2
724,0,1,2,0,116
725,0,1,2,1,1
726,0,1,2,2,11
727,0,1,2,3,1
728,0,1,2,4,0
729,0,1,2,5,0
730,0,1,2,6,1
731,0,1,2,7,37
732,0,1,2,8,0
733,0,1,2,9,0
734,0,1,2,10,1
735,0,1,2,11,58
736,0,1,2,12,0
737,0,1,2,13,311
738,0,1,2,14,299
739,0,1,2,15,1
740,0,1,2,16,0
741,0,1,2,17,8
742,0,1,2,18,17
743,0,1,2,19,8
744,0,1,2,20,2
745,0,1,2,21,7
746,0,1,2,23,69
747,0,1,2,24,12
748,0,1,2,25,5
749,0,1,2,26,41
750,0,1,2,27,27
751,0,1,2,28,2
752,0,1,2,29,3
753,0,1,2,30,79
754,0,1,2,31,158
755,0,1,2,32,1
756,0,1,2,33,9
757,0,1,2,34,25
758,0,1,2,35,44
759,0,1,2,36,7
760,0,1,2,37,170
761,0,1,2,38,0
762,0,1,2,39,88
763,0,1,2,40,11
764,0,1,2,41,88
765,0,1,2,42,2
766,0,1,2,43,35
767,0,1,2,44,36
768,0,1,2,45,37
769,0,1,2,46,31
770,0,1,2,48,0
771,0,1,2,49,17
772,0,1,2,50,67
773,0,1,2,51,613
774,0,1,2,52,262
775,0,1,2,53,187
776,0,1,2,54,4
777,0,1,2,55,5
778,0,1,2,56,7
779,0,1,2,57,2
780,0,1,2,58,140
781,0,1,2,59,66
782,0,1,2,60,31
783,0,1,2,61,54
784,0,1,2,62,95
785,0,1,2,63,16
786,0,1,3,0,214
787,0,1,3,1,2
788,0,1,3,2,24
789,0,1,3,3,0
790,0,1,3,4,0
791,0,1,3,5,0
792,0,1,3,6,1
793,0,1,3,7,69
794,0,1,3,8,0
795,0,1,3,9,0
796,0,1,3,10,2
797,0,1,3,11,98
798,0,1,3,12,0
799,0,1,3,13,1012
800,0,1,3,14,973
801,0,1,3,15,4
802,0,1,3,16,6
803,0,1,3,17,37
804,0,1,3,18,80
805,0,1,3,19,8
806,0,1,3,20,14
807,0,1,3,21,42
808,0,1,3,23,72
809,0,1,3,24,26
810,0,1,3,25,12
811,0,1,3,26,61
812,0,1,3,27,43
813,0,1,3,28,2
814,0,1,3,29,8
815,0,1,3,30,67
816,0,1,3,31,346
